init_seed,fold,condition,train_script,vocab_size,las_mean,uas_mean,n_test_tokens
42,0,tt_only,native,16000,0.25995316159250587,0.351288056206089,427
42,1,tt_only,native,16000,0.12978723404255318,0.20212765957446807,470
42,2,tt_only,native,16000,0.29095354523227385,0.39364303178484106,409
42,3,tt_only,native,16000,0.20977596741344195,0.319755600814664,491
42,4,tt_only,native,16000,0.2567287784679089,0.36853002070393376,483
43,0,tt_only,native,16000,0.2810304449648712,0.36065573770491804,427
43,1,tt_only,native,16000,0.2404255319148936,0.3382978723404255,470
43,2,tt_only,native,16000,0.2273838630806846,0.3202933985330073,409
43,3,tt_only,native,16000,0.1975560081466395,0.26476578411405294,491
43,4,tt_only,native,16000,0.2318840579710145,0.32712215320910976,483
44,0,tt_only,native,16000,0.2529274004683841,0.3325526932084309,427
44,1,tt_only,native,16000,0.2127659574468085,0.35106382978723405,470
44,2,tt_only,native,16000,0.20537897310513448,0.3374083129584352,409
44,3,tt_only,native,16000,0.20977596741344195,0.2708757637474542,491
44,4,tt_only,native,16000,0.2028985507246377,0.3146997929606625,483
45,0,tt_only,native,16000,0.22950819672131148,0.36065573770491804,427
45,1,tt_only,native,16000,0.2404255319148936,0.3702127659574468,470
45,2,tt_only,native,16000,0.293398533007335,0.39364303178484106,409
45,3,tt_only,native,16000,0.21181262729124237,0.3075356415478615,491
45,4,tt_only,native,16000,0.2028985507246377,0.32919254658385094,483
46,0,tt_only,native,16000,0.16393442622950818,0.27634660421545665,427
46,1,tt_only,native,16000,0.1574468085106383,0.27872340425531916,470
46,2,tt_only,native,16000,0.29584352078239606,0.39853300733496333,409
46,3,tt_only,native,16000,0.10590631364562118,0.1934826883910387,491
46,4,tt_only,native,16000,0.2360248447204969,0.34368530020703936,483
42,0,transfer_tr,native,16000,0.25995316159250587,0.3957845433255269,427
42,1,transfer_tr,native,16000,0.274468085106383,0.3702127659574468,470
42,2,transfer_tr,native,16000,0.2713936430317848,0.3960880195599022,409
42,3,transfer_tr,native,16000,0.26476578411405294,0.37474541751527496,491
42,4,transfer_tr,native,16000,0.32091097308488614,0.4078674948240166,483
43,0,transfer_tr,native,16000,0.22950819672131148,0.3583138173302108,427
43,1,transfer_tr,native,16000,0.17872340425531916,0.2872340425531915,470
43,2,transfer_tr,native,16000,0.31784841075794623,0.4229828850855746,409
43,3,transfer_tr,native,16000,0.26272912423625255,0.3625254582484725,491
43,4,transfer_tr,native,16000,0.2525879917184265,0.3498964803312629,483
44,0,transfer_tr,native,16000,0.31381733021077285,0.4379391100702576,427
44,1,transfer_tr,native,16000,0.2170212765957447,0.3617021276595745,470
44,2,transfer_tr,native,16000,0.22249388753056235,0.34963325183374083,409
44,3,transfer_tr,native,16000,0.15274949083503056,0.23421588594704684,491
44,4,transfer_tr,native,16000,0.2463768115942029,0.36853002070393376,483
45,0,transfer_tr,native,16000,0.27400468384074944,0.3840749414519906,427
45,1,transfer_tr,native,16000,0.23829787234042554,0.35106382978723405,470
45,2,transfer_tr,native,16000,0.3251833740831296,0.44254278728606355,409
45,3,transfer_tr,native,16000,0.25661914460285135,0.3421588594704684,491
45,4,transfer_tr,native,16000,0.18840579710144928,0.3105590062111801,483
46,0,transfer_tr,native,16000,0.3161592505854801,0.41920374707259955,427
46,1,transfer_tr,native,16000,0.20212765957446807,0.32553191489361705,470
46,2,transfer_tr,native,16000,0.33007334963325186,0.4278728606356968,409
46,3,transfer_tr,native,16000,0.24032586558044808,0.3543788187372709,491
46,4,transfer_tr,native,16000,0.2939958592132505,0.40372670807453415,483
42,0,transfer_tr_kk,native,16000,0.3044496487119438,0.3911007025761124,427
42,1,transfer_tr_kk,native,16000,0.1574468085106383,0.2957446808510638,470
42,2,transfer_tr_kk,native,16000,0.29095354523227385,0.36185819070904646,409
42,3,transfer_tr_kk,native,16000,0.23217922606924643,0.32382892057026474,491
