rank,codepoint_hex,char_display,count,fraction_of_total,unicode_major_category,unicode_bucket,unicode_name
668,U+1090C,𐤌,99,1.31296754e-07,Lo,letter,PHOENICIAN LETTER MEM
669,U+045E,ў,98,1.29970525e-07,Ll,letter,CYRILLIC SMALL LETTER SHORT U
670,U+0562,բ,98,1.29970525e-07,Ll,letter,ARMENIAN SMALL LETTER BEN
671,U+103A,်,98,1.29970525e-07,Mn,other,MYANMAR SIGN ASAT
672,U+4F1A,会,97,1.28644295e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-4F1A
673,U+4E00,一,96,1.27318065e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-4E00
674,U+795E,神,96,1.27318065e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-795E
675,U+06C7,ۇ,95,1.25991835e-07,Lo,letter,ARABIC LETTER U
676,U+5E02,市,95,1.25991835e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-5E02
677,U+02CC,ˌ,94,1.24665605e-07,Lm,letter,MODIFIER LETTER LOW VERTICAL LINE
678,U+1ECD,ọ,94,1.24665605e-07,Ll,letter,LATIN SMALL LETTER O WITH DOT BELOW
679,U+C0AC,사,94,1.24665605e-07,Lo,letter,HANGUL SYLLABLE SA
680,U+00D1,Ñ,93,1.23339375e-07,Lu,letter,LATIN CAPITAL LETTER N WITH TILDE
681,U+1EC5,ễ,92,1.22013146e-07,Ll,letter,LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
682,U+2116,№,92,1.22013146e-07,So,punct_or_symbol,NUMERO SIGN
683,U+C544,아,92,1.22013146e-07,Lo,letter,HANGUL SYLLABLE A
684,U+10909,𐤉,92,1.22013146e-07,Lo,letter,PHOENICIAN LETTER YOD
685,U+1F76,ὶ,91,1.20686916e-07,Ll,letter,GREEK SMALL LETTER IOTA WITH VARIA
686,U+6D77,海,91,1.20686916e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-6D77
687,U+10900,𐤀,91,1.20686916e-07,Lo,letter,PHOENICIAN LETTER ALF
688,U+0544,Մ,90,1.19360686e-07,Lu,letter,ARMENIAN CAPITAL LETTER MEN
689,U+0947,े,90,1.19360686e-07,Mn,other,DEVANAGARI VOWEL SIGN E
690,U+1FF6,ῶ,90,1.19360686e-07,Ll,letter,GREEK SMALL LETTER OMEGA WITH PERISPOMENI
691,U+2060,⁠,90,1.19360686e-07,Cf,format,WORD JOINER
692,U+4E61,乡,90,1.19360686e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-4E61
693,U+548C,和,90,1.19360686e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-548C
694,U+5CF6,島,90,1.19360686e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-5CF6
695,U+AE40,김,90,1.19360686e-07,Lo,letter,HANGUL SYLLABLE GIM
696,U+B300,대,90,1.19360686e-07,Lo,letter,HANGUL SYLLABLE DAE
697,U+10913,𐤓,90,1.19360686e-07,Lo,letter,PHOENICIAN LETTER ROSH
698,U+1F60D,😍,90,1.19360686e-07,So,punct_or_symbol,SMILING FACE WITH HEART-SHAPED EYES
699,U+013E,ľ,89,1.18034456e-07,Ll,letter,LATIN SMALL LETTER L WITH CARON
700,U+0408,Ј,88,1.16708226e-07,Lu,letter,CYRILLIC CAPITAL LETTER JE
701,U+0566,զ,88,1.16708226e-07,Ll,letter,ARMENIAN SMALL LETTER ZA
702,U+0577,շ,88,1.16708226e-07,Ll,letter,ARMENIAN SMALL LETTER SHA
703,U+09B0,র,88,1.16708226e-07,Lo,letter,BENGALI LETTER RA
704,U+30D5,フ,88,1.16708226e-07,Lo,letter,KATAKANA LETTER HU
705,U+5317,北,88,1.16708226e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-5317
706,U+0294,ʔ,87,1.15381996e-07,Lo,letter,LATIN LETTER GLOTTAL STOP
707,U+9053,道,87,1.15381996e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-9053
708,U+963F,阿,87,1.15381996e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-963F
709,U+0932,ल,86,1.14055766e-07,Lo,letter,DEVANAGARI LETTER LA
